Interaction_ID,Customer_ID,Interaction_Date,Channel,Feedback,Rating
1b396823-f269-40ed-86db-bd87cd265d81,C069,2025-03-16,In-Store,Negative,4
d749e72a-72ad-4fc4-a74e-7231176d5696,C071,2020-11-06,Phone,Neutral,1
3509f1ab-13ba-4678-8e56-fdfd37712abd,C046,2021-01-24,In-Store,Neutral,5
8f6c5fff-1908-4e8c-9c2c-bbee1dfcbf20,C070,2025-01-09,In-Store,Positive,4
607c3788-6f04-406b-9f2d-df9f92e5669e,C031,2020-04-24,Phone,Negative,1
e39f2523-87bb-4bbe-8198-d0021133866e,C090,2022-10-07,Website,Positive,5
30f824cd-8521-4bc9-978f-bf875e1576f9,C049,2024-12-18,In-Store,Negative,5
806857f5-b741-486c-8484-862d7151cbcc,C046,2022-06-10,In-Store,Positive,2
ca1254b7-dd95-43c0-8d16-2574e3a39424,C090,2020-07-24,In-Store,Negative,2
578f74ef-20ca-45cf-8f47-7725db1054d9,C059,2025-01-13,Email,Neutral,5
9f2c0245-7591-4ae4-b2c8-e34e577765a0,C015,2021-12-05,Email,Negative,5
333f4763-c85e-41ee-b182-f62ea2eb34ae,C081,2024-03-22,Email,Positive,1
126b7897-6c0c-472d-977f-b26cebaf3762,C055,2020-08-03,In-Store,Negative,3
3c56b191-689f-4bc1-9550-5fb09f3a5fd1,C086,2024-02-14,Website,Positive,1
452dcdee-852a-4b84-a84a-f8bafa964281,C055,2021-07-31,Email,Negative,3
3d68f373-7065-49c0-9311-e5ae2d7eb96c,C073,2021-08-22,Website,Negative,2
c01ad8ff-682f-427a-a4c7-8150c45730b6,C059,2022-09-17,Phone,Negative,3
0c3e5a88-22a4-4d73-aec3-1bb8dcab5faf,C027,2022-01-28,Website,Neutral,3
fc3adc10-d2de-4f5e-b889-daec773fc9ee,C037,2021-08-09,In-Store,Positive,2
3b4e4e4f-0c6a-43bb-be3a-b95b351f180a,C100,2021-02-18,Phone,Positive,1
af7ae2d4-5d2f-49b8-a8ee-d67816c95326,C014,2023-03-23,In-Store,Negative,1
52095cdf-7e76-4143-b8f0-9adebab889ad,C055,2024-06-29,Email,Neutral,5
d9a9c992-6b3a-4f67-ab7a-3e073db4805d,C045,2021-08-07,Phone,Negative,4
95313202-31d1-49b8-8733-f39b14d8945e,C077,2023-07-18,Phone,Positive,2
f1e9cf54-b0b6-4469-a753-7d7e3a2dfadc,C009,2023-04-28,Website,Neutral,1
3276dd15-7ecd-4333-b356-d055274dc3e4,C092,2021-09-29,In-Store,Positive,1
2d57d9fb-0b8b-4a48-94b3-535a406eb8d2,C043,2023-09-19,Email,Positive,4
82f2d9f8-11f7-408c-a7ae-3fda6ec30bdd,C088,2021-09-29,Website,Positive,4
49d7055b-d827-4644-b470-6ebc73d28673,C035,2023-04-14,Phone,Negative,2
88bed60a-251c-4e8b-8859-debad1b0e407,C092,2022-02-16,In-Store,Positive,5
07b75ce8-ce2b-4f6a-adb9-6a7061c83aea,C003,2020-10-14,Email,Negative,2
03ca92ab-0e37-444e-b78f-39398a625ef4,C002,2023-06-28,Website,Negative,1
38ce5d47-8ce5-4f7d-baf0-68d8288f142e,C055,2023-07-03,Email,Positive,2
2d11af19-7b40-4bab-8573-0357f2a55388,C002,2023-12-15,In-Store,Negative,1
65e0681f-5897-4e28-8703-81e3331942d7,C051,2023-05-25,Email,Neutral,3
114f78bb-c965-4ad2-9a3e-ded8d53ece92,C009,2023-03-18,Website,Neutral,5
8d30f499-d053-4851-9dd0-3a1e94935cbf,C093,2022-01-17,Website,Negative,5
ffded231-c675-4105-9b3f-06b45e4e02a5,C080,2023-12-15,Website,Neutral,1
aac4244e-d1bb-49de-9d45-38d72e2177e3,C041,2023-02-15,Email,Positive,3
6afe0c23-bc8d-439c-8445-8fa204b6f2da,C085,2020-03-06,Website,Neutral,3
2d7b5de0-866d-4659-b74c-2a8c8085f58a,C037,2020-03-14,Email,Positive,4
38701ad3-5084-4c7b-97dd-3340203d2942,C068,2024-08-02,Email,Positive,4
c7f75826-014d-43c8-9c42-b1d7c86c6a0e,C059,2022-02-24,Phone,Neutral,2
dd4a16fb-c588-491d-a0f0-930dd5669311,C047,2021-05-22,In-Store,Neutral,4
c4502f70-98bf-4764-af00-5dca7048d9af,C042,2023-12-16,Email,Positive,1
ef2770a9-ff9b-4c12-85df-467afabe523f,C090,2020-07-13,Email,Positive,1
34dd929e-53f3-4b35-83fc-92348e4abd55,C063,2020-09-03,Email,Neutral,3
a5cd7d29-3bf9-4552-aba8-33cc53bc77b1,C046,2025-03-22,In-Store,Negative,3
0ae8b46a-ec49-49da-a0b2-321f7bf139d7,C095,2022-09-23,Website,Positive,4
2fff77bd-90a3-4543-bb9e-e7f67b02db22,C083,2023-04-20,Website,Neutral,5
1f29fe92-a463-471d-a5bf-de2b7d1819e0,C020,2024-03-31,Phone,Neutral,4
3ecdf631-6735-41bb-8e2b-0e7e8f67d224,C018,2021-05-18,Phone,Negative,5
